Bismaleimide, ﻿Bismaleimide
thermoset, thermoset
., .
O, o
nome, nome
é, ser
estranho, estranho
,, ,
mas, mas
este, este
novíssimo, novíssimo
material, material
de, de
fibra, fibra
de, de
carbono, carbono
seria, ser
a, o
chave, chave
do, de o
sucesso, sucesso
repentino, repentino
da, de o
equipe, equipe
italiana, italiano
Ferrari, Ferrari
na, em o
atual, atual
temporada, temporada
de, de
F-1, F-1
., .

, 

Segundo, segundo
as, o
revistas, revista
`, `
`, `
AutoSprint, AutoSprint
'', ''
,, ,
da, de o
Itália, Itália
,, ,
e, e
`, `
`, `
Autosport, Autosport
'', ''
,, ,
da, de o
Inglaterra, Inglaterra
,, ,
que, que
dedicaram, dedicar
suas, seu
capas, capa
para, para
o, o
assunto, assunto
nesta, em este
semana, semana
,, ,
o, o
material, material
é, ser
uma, um
espécie, espécie
de, de
resina, resina
desenvolvida, desenvolver
pela, por o
indústria, indústria
aeroespacial, aeroespacial
inglesa, inglês
., .

, 

Nos, em o
carros, carro
de, de
F-1, F-1
,, ,
seria, ser
utilizada, utilizar
no, em o
chassi, chassi
., .
Com, com
capacidade, capacidade
para, para
resistir, resistir
a, a
altas, alta
temperaturas, temperaturo
,, ,
poderia, poder
simplificar, simplificar
a, o
parte, parte
traseira, traseiro
do, de o
mesmo, mesmo
,, ,
tornando, tornar
o, o
carro, carro
mais, mais
leve, levar
e, e
com, com
maior, grande
capacidade, capacidade
aerodinâmica, aerodinâmico
., .

, 

O, o
inglês, inglês
John, John
Barnard, Barnard
,, ,
projetista, projetista
da, de o
Ferrari, Ferrari
,, ,
estaria, estar
utilizando, utilizar
o, o
novo, novo
recurso, recurso
desde, desde
o, o
início, início
deste, de este
ano, ano
,, ,
segundo, segundo
o, o
semanário, semanário
italiano, italiano
., .

, 

Já, já
a, o
revista, revista
inglesa, inglês
questiona, questionar
se, se
Barnard, Barnard
lançou, lançar
mão, mão
do, de o
novo, novo
material, material
nesta, em este
temporada, temporada
., .

, 

As, o
duas, dois
publicações, publicação
concordam, concordar
,, ,
porém, porém
,, ,
que, que
o, o
advento, advento
do, de o
novo, novo
material, material
revolucionará, revolucionar
os, o
projetos, projeto
dos, de o
carros, carro
de, de
F-1, F-1
., .

, 

O, o
BMI, BMI
,, ,
sigla, sigla
que, que
designa, designar
o, o
material, material
,, ,
estaria, estar
sendo, ser
estudado, estudar
também, também
por, por
outros, outro
times, time
da, de o
categoria, categoria
., .

, 

