Gerhard, ﻿Gerhard
Berger, Berger
,, ,
da, de o
Ferrari, Ferrari
,, ,
estabeleceu, estabelecer
ontem, ontem
o, o
melhor, bom
tempo, tempo
dos, de o
quatro, quatro
dias, dia
de, de
testes, teste
privados, privado
que, que
algumas, algum
equipes, equipe
da, de o
F-1, F-1
realizaram, realizar
esta, este
semana, semana
no, em o
circuito, circuito
de, de
Imola, Imola
,, ,
na, em o
Itália, Itália
., .

, 

Berger, Berger
fez, fazer
o, o
tempo, tempo
de, de
1min28s48, 1min28s48
na, em o
parte, parte
da, de o
manhã, manhã
., .
À, a o
tarde, tarde
,, ,
o, o
forte, forte
calor, calor
da, de o
primavera, primavera
italiana, italiano
inviabilizou, inviabilizar
qualquer, qualquer
tentativa, tentativa
de, de
superação, superação
da, de o
marca, marca
., .

, 

Michael, Michael
Schumacher, Schumacher
,, ,
da, de o
Benetton, Benetton
,, ,
ficou, ficar
a, a
sete, sete
centésimos, centésimo
de, de
segundo, segundo
de, de
Berger, Berger
e, e
teve, ter
seu, seu
teste, teste
abreviado, abreviar
por, por
problemas, problema
no, em o
câmbio, câmbio
de, de
seu, seu
carro, carro
., .

, 

O, o
inglês, inglês
Damon, Damon
Hill, Hill
,, ,
da, de o
Williams, Williams
,, ,
fez, fazer
o, o
terceiro, terceiro
tempo, tempo
do, de o
dia, dia
,, ,
1min28s64, 1min28s64
., .
O, o
piloto, piloto
se, se
mostrou, mostrar
totalmente, totalmente
reabilitado, reabilitar
do, de o
forte, forte
acidente, acidente
que, que
sofreu, sofrer
anteontem, anteontem
., .

, 

A, o
marca, marca
de, de
Berger, Berger
confirma, confirmar
o, o
momento, momento
de, de
ascensão, ascensão
da, de o
escuderia, escuderia
italiana, italiano
,, ,
que, que
torce, torcer
por, por
um, um
bom, bom
rendimento, rendimento
no, em o
GP, GP
da, de o
Espanha, Espanha
,, ,
no, em o
próximo, próximo
fim-de-semana, fim-de-semana
., .

, 

