Tipo,Texto
Token,remanescentes
Token,Dirigir
Token,"""Essa"
Token,"Valmir,"
Token,sócio-econômico
Token,"Taiwan,"
Token,erigiu
Token,Canhoteiros
Token,resolução
Token,Coutinho.
Token,"Esportes,"
Token,cabe
Token,"Anchieta,"
Token,"41'',"
Token,dificultar
Token,"""rara"
Token,(velocidade
Token,consecutivo.
Token,3.000/CR$
Token,"1994_,"
Token,"corintianos,"
Token,Caxias-RS
Token,quadruplicará
Token,conduzido
Token,"48,"
Token,fé
Token,sintonia
Token,"organizado,"
Token,(Shaquille)
Token,cartões
Token,coro:
Token,argumentar
Token,outras
Token,"masculina,"
Token,Décimo
Token,"""backstages"","
Token,esborrachou
Token,pró-defesa
Token,alegóricos
Token,promovidos.
Token,``peregrinação''.
Token,restaurante
Token,conversando
Token,constantes
Token,–13
Token,trave
Token,"for,"
Token,superar
Token,afoxé
Token,18h
Token,notável.
Token,Lapa
Token,licenciados.
Token,"Vampeta,"
Token,Opera
Token,massacre
Token,"pirado,"
Token,"poltronas,"
Token,"1988,"
Token,"Moacir"","
Token,encontrados.
Token,"1,98m,"
Token,sexta-feira
Token,desgaste
Token,mobilizados
Token,Cafu.
Token,"linha'',"
Token,divididos
Token,delineava
Token,laranja
Token,"Eads,"
Token,finalização.
Token,Peru
Token,poria
Token,negociações
Token,frente.
Token,"jogadas,"
Token,marcou
Token,silêncio.
Token,impecavelmente
Token,bomba
Token,desistências
Token,Player/MVP)
Token,50)
Token,(aterrissagens
Token,15/9).
Token,abalos
Token,gritar
Token,avança-se
Token,começar.
Token,separada
Token,definir
Token,*
Token,julgamento.
Token,tie-break
Token,"empresa,"
Token,"jogando,"
Token,"exigências,"
Token,montanha
Token,evitado
Token,atuava
Token,molecada
Token,Fiel.
Token,concorrem
Token,"`nosotros',"
Token,"King,"
Token,emaranhado
Token,qualidades.
Token,"Libanês,"
Token,praga
Token,"Romário,"
Token,compensar
Token,Macedo)
Token,rogou
Token,Mathias
Token,"Minnie,"
Token,Todt.
Token,campanhas:
Token,"prioridades,"
Token,"804,5"
Token,6/3
Token,renove
Token,Velasco
Token,improvisar
Token,9h
Token,"surpresa,"
Token,expressas
Token,recém-eleito
Token,pode
Token,Correio
Token,compensam.
Token,estarão
Token,sério
Token,diz
Token,"cidades,"
Token,garra
Token,"Natal,"
Token,descartado
Token,decidida
Token,ameaça–
Token,6-12
Token,–um
Token,"Sollo/Tietê,"
Token,158
Token,dispensa.
Token,Alexandre;
Token,país).
Token,custos
Token,"23,32,"
Token,surpreso
Token,Acontecessem
Token,(número
Token,clube
Token,próximo
Token,"eficiente,"
Token,``exclusivos''
Token,tranquilo.
Token,reorganizasse.
Token,modificações
Token,MENGOZZI
Token,"Aceval,"
Token,atuou
Token,(Além
Token,"Mas,"
Token,você.
Token,Zimbábue
Token,"Green,"
Token,"sucessivamente,"
Token,Goto.
Token,"3),"
Token,disputados.
Token,desacordado.
Token,Guilherme)
Token,vida''
Token,subidas
Token,salário.
Token,agredido
Token,Alto?
Token,"(FRA/Ligier),"
Token,Torres.
Token,intimidado
Token,computador.
Token,categorias
Token,inferiorizado
Token,Brasileiro?
Token,"briga,"
Token,Surubim
Token,mister
Token,loucos.
Token,"6,"
Token,defendeu
Token,renovada
Token,Piacenza
Token,Mundial-94
Token,motivo
Token,engraçado
Token,propostas
Token,"Smirnova,"
Token,Graham
Token,previstos
Token,"fundamentos,"
Token,Satierf-Sabesp
Token,"grupos,"
Token,"""Estamos"
Token,noitadas
Token,pergunta
Token,prolongado
Token,tom
Token,"Rio),"
Token,tivesse
Token,37).
Token,LÉLIO
Token,"Armas,"
Token,precioso
Token,–casou-se
Token,"marketing,"
Token,"seu,"
Token,111)
Token,Admílson
Token,"prêmio,"
Token,Condor
Token,Mil
Token,ecológicos
Token,favas
Token,Pelos
Token,numerados
Token,cia.
Token,"quilômetros,"
Token,esbarrando
Token,Schwantz
Token,contrária
Token,"favoritos,"
Token,igual
Token,(Praia
Token,"12,"
Token,aproximadamente
Token,embarcavam
Token,parecido
Token,reestruturou
Token,manterá
Token,"Sanchez,"
Token,servido
Token,"""The"
Token,tênis
Token,notícias.
Token,explorará
Token,observadas.
Token,"ineficiente,"
Token,abusar.
Token,aéreas.
Token,"volantes,"
Token,"Gaza,"
Token,posicionado
Token,"existe,"
Token,"estava,"
Token,ginásios
Token,Miguel;
Token,"combates,"
Token,vésperas
Token,CRUZ
Token,_também
Token,inscrição
Token,"Svensson,"
Token,Jales
Token,Rooney
Token,"desconhecia,"
Token,3-5-2
Token,Muito
Token,"Nielsen,"
Token,inquérito.
Token,Nascimento
Token,Wágner
Token,"pesados"","
